"symbol","sector","date_stamp","close","adjusted_close","volume","sp500"
AAL,"1",2020-03-16,15.92,15.92,84916838.0,2386.1298828125
AAL,"1",2020-03-17,15.58,15.58,58055816.0,2529.18994140625
AAL,"1",2020-03-18,11.65,11.65,78458779.0,2398.10009765625
AAL,"1",2020-03-19,10.29,10.29,71584495.0,2409.389892578125
AAL,"1",2020-03-20,10.38,10.38,62681779.0,2304.919921875
AAL,"1",2020-03-23,10.25,10.25,56427277.0,2237.39990234375
AAL,"1",2020-03-24,13.92,13.92,101553138.0,2447.330078125
AAL,"1",2020-03-25,15.39,15.39,93795094.0,2475.56005859375
AAL,"1",2020-03-26,15.66,15.66,77627480.0,2630.070068359375
AAL,"1",2020-03-27,14.04,14.04,50783456.0,2541.469970703125
AAL,"1",2020-03-30,12.25,12.25,50516755.0,2626.64990234375
AAL,"1",2020-03-31,12.19,12.19,44851435.0,2584.590087890625
AAL,"1",2020-04-01,10.69,10.69,56854449.0,2470.5
AAL,"1",2020-04-02,10.06,10.06,65534605.0,2526.89990234375
AAL,"1",2020-04-03,9.39,9.39,87018883.0,2488.64990234375
AAL,"1",2020-04-06,9.5,9.5,94272306.0,2663.679931640625
AAL,"1",2020-04-07,10.22,10.22,138060974.0,2659.409912109375
AAL,"1",2020-04-08,11.33,11.33,82718687.0,2749.97998046875
AAL,"1",2020-04-09,12.51,12.51,117592821.0,2789.820068359375
AAL,"1",2020-04-13,11.56,11.56,73385533.0,2761.6298828125
AAL,"1",2020-04-14,11.945,11.945,68039491.0,2846.06005859375
AAL,"1",2020-04-15,12.29,12.29,124719945.0,2783.360107421875
AAL,"1",2020-04-16,11.07,11.07,83626979.0,2799.550048828125
AAL,"1",2020-04-17,11.57,11.57,61279474.0,2874.56005859375
AAL,"1",2020-04-20,11.06,11.06,58984927.0,2823.159912109375
AAL,"1",2020-04-21,11.0,11.0,49882258.0,2736.56005859375
AAL,"1",2020-04-22,10.27,10.27,76320112.0,2799.31005859375
AAL,"1",2020-04-23,10.25,10.25,54598512.0,2797.800048828125
AAL,"1",2020-04-24,10.31,10.31,67234912.0,2836.739990234375
AAL,"1",2020-04-27,10.02,10.02,67378762.0,2878.47998046875
AAL,"1",2020-04-28,11.26,11.26,114642980.0,2863.389892578125
